================================================================================
Spectrum 112
================================================================================

Spectrum Information:
--------------------------------------------------------------------------------
Precursor m/z: 577.2896
Precursor charge: 2+
Ground truth: IATGDWFTSR
Ground truth (normalized): IATGDWFTSR

Beam Search Results:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 1
Used for reranking: 1

Candidate Statistics:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 1 (0.1%)
Database matches: 0 (0.0%)
Prosit predictions: 1 (0.1%)
Failed: 0 (0.0%)

Ground Truth Analysis:
--------------------------------------------------------------------------------
Ground truth found: ✗ (not in top 1000 candidates)

All 1000 Candidates (sorted by similarity):
------------------------------------------------------------------------------------------------------------------------
Rank  Peptide                  Similarity  Source      BeamScore   Mass        Pass    Correct
------------------------------------------------------------------------------------------------------------------------
1     +42.011QELDPAAVLR        0.4002      Prosit      -8.8707     1152.6139   ✓       
294   -17.027FLSPAAVLR         -1.0000     NotChecked  -9.0000     955.5491    ✗       
295   -17.027QPLDPAAVLK        -1.0000     NotChecked  -9.0055     1033.5808   ✗       
296   -17.027QYSDPAAVLK        -1.0000     NotChecked  -9.0073     1073.5393   ✗       
297   -17.027QHLSPAAVGR        -1.0000     NotChecked  -9.0077     1017.5356   ✗       
298   -17.027SLDPAAVLK         -1.0000     NotChecked  -9.0079     895.5015    ✗       
299   -17.027PLSPAAVLR         -1.0000     NotChecked  -9.0102     905.5335    ✗       
300   -17.027YSSPAAVLR         -1.0000     NotChecked  -9.0120     945.4920    ✗       
301   -17.027HLLDPAAVLR        -1.0000     NotChecked  -9.0137     1086.6186   ✗       
302   -17.027QDLDPAAVLK        -1.0000     NotChecked  -9.0154     1051.5550   ✗       
303   -17.027GSLDPAAVLR        -1.0000     NotChecked  -9.0161     980.5291    ✗       
304   -17.027QHLDVAAVLR        -1.0000     NotChecked  -9.0164     1103.6087   ✗       
305   -17.027HSDPPAAVLR        -1.0000     NotChecked  -9.0169     1044.5352   ✗       
306   QHLDPAAVLK               -1.0000     NotChecked  -9.0175     1090.6135   ✗       
307   -17.027DLSPAAVLR         -1.0000     NotChecked  -9.0200     923.5076    ✗       
308   -17.027QSSEPAAVLR        -1.0000     NotChecked  -9.0215     1039.5298   ✗       
309   HLSPAAVLR                -1.0000     NotChecked  -9.0221     962.5661    ✗       
310   -17.027QSTSPAAVLR        -1.0000     NotChecked  -9.0226     1011.5349   ✗       
311   -17.027LVDPAAVLR         -1.0000     NotChecked  -9.0234     935.5440    ✗       
312   -17.027YLDPAAVLK         -1.0000     NotChecked  -9.0303     971.5328    ✗       
313   -17.027LLDWAAVLR         -1.0000     NotChecked  -9.0306     1038.5862   ✗       
314   -17.027QFLEPAAVLR        -1.0000     NotChecked  -9.0320     1125.6182   ✗       
315   -17.027GYLDPAAVLR        -1.0000     NotChecked  -9.0386     1056.5604   ✗       
316   -17.027QPLEPAAVLR        -1.0000     NotChecked  -9.0422     1075.6026   ✗       
317   -17.027QYSEPAAVLR        -1.0000     NotChecked  -9.0440     1115.5611   ✗       
318   -17.027QLDYAAVLR         -1.0000     NotChecked  -9.0442     1030.5447   ✗       
319   -17.027SLEPAAVLR         -1.0000     NotChecked  -9.0445     937.5233    ✗       
320   -17.027QYTSPAAVLR        -1.0000     NotChecked  -9.0450     1087.5662   ✗       
321   +42.011QHVDPAAVLR        -1.0000     NotChecked  -9.0471     1146.6146   ✗       
322   -17.027SLDPAAVLR         -1.0000     NotChecked  -9.0491     923.5076    ✗       
323   -17.027QSVDPAAVGR        -1.0000     NotChecked  -9.0506     981.4880    ✗       
324   -17.027QSVDPAAVLR        -1.0000     NotChecked  -9.0513     1037.5506   ✗       
325   -17.027QDLEPAAVLR        -1.0000     NotChecked  -9.0520     1093.5768   ✗       
326   QLLSPAAVLR               -1.0000     NotChecked  -9.0539     1066.6499   ✗       
327   QHLEPAAVLR               -1.0000     NotChecked  -9.0541     1132.6353   ✗       
328   -17.027QSLDWAAVGR        -1.0000     NotChecked  -9.0579     1084.5302   ✗       
329   -17.027YLEPAAVLR         -1.0000     NotChecked  -9.0669     1013.5546   ✗       
330   +42.011QSLSPAAVLR        -1.0000     NotChecked  -9.0679     1082.6084   ✗       
331   -17.027SYLDPAAVLR        -1.0000     NotChecked  -9.0716     1086.5710   ✗       
332   -17.027LLDPPAAVLR        -1.0000     NotChecked  -9.0717     1046.6124   ✗       
333   -17.027QYVDPAAVGR        -1.0000     NotChecked  -9.0731     1057.5193   ✗       
334   -17.027QYVDPAAVLR        -1.0000     NotChecked  -9.0737     1113.5819   ✗       
335   -17.027QHLDPAASLR        -1.0000     NotChecked  -9.0827     1089.5567   ✗       
336   -17.027HLSPAAVLR         -1.0000     NotChecked  -9.0909     945.5396    ✗       
337   -17.027QHLDYAAVGR        -1.0000     NotChecked  -9.0935     1111.5411   ✗       
338   -17.027QHVDPAAVLK        -1.0000     NotChecked  -9.0961     1059.5713   ✗       
339   -17.027QSLDPPAAVGR       -1.0000     NotChecked  -9.0989     1092.5564   ✗       
340   -17.027QSLDPAAVLR        -1.0000     NotChecked  -9.0995     1051.5662   ✗       
341   -17.027HVSPAAVLR         -1.0000     NotChecked  -9.1007     931.5240    ✗       
342   -17.027HLSWAAVLR         -1.0000     NotChecked  -9.1079     1034.5661   ✗       
343   -17.027QSLSPAAVLK        -1.0000     NotChecked  -9.1169     995.5651    ✗       
344   -17.027QYLDPAAVLR        -1.0000     NotChecked  -9.1220     1127.5975   ✗       
345   -17.027QLVSPAAVLR        -1.0000     NotChecked  -9.1324     1035.6077   ✗       
346   -17.027QHVEPAAVLR        -1.0000     NotChecked  -9.1327     1101.5931   ✗       
347   -17.027QYLSPAAVLK        -1.0000     NotChecked  -9.1393     1071.5964   ✗       
348   -17.027QESDPAAVGR        -1.0000     NotChecked  -9.1463     1011.4621   ✗       
349   -17.027QESDPAAVLR        -1.0000     NotChecked  -9.1469     1067.5247   ✗       
350   -17.027HLSPPAAVLR        -1.0000     NotChecked  -9.1490     1042.5924   ✗       
351   -17.027QLDPAAPLR         -1.0000     NotChecked  -9.1544     962.5185    ✗       
352   -17.027ELDPAAVGR         -1.0000     NotChecked  -9.1693     909.4556    ✗       
353   -17.027ELDPAAVLR         -1.0000     NotChecked  -9.1699     965.5182    ✗       
354   -17.027QASDPAAVGR        -1.0000     NotChecked  -9.1852     953.4567    ✗       
355   -17.027QASDPAAVLR        -1.0000     NotChecked  -9.1858     1009.5193   ✗       
356   -17.027ESLDPAAVLR        -1.0000     NotChecked  -9.1922     1052.5502   ✗       
357   QSDPAAVLR                -1.0000     NotChecked  -9.1948     955.5087    ✗       
358   -17.027QHLDDAAVLR        -1.0000     NotChecked  -9.2027     1119.5673   ✗       
359   -17.027QLDPAAVGR         -1.0000     NotChecked  -9.2034     908.4716    ✗       
360   -17.027QHLDPAAPGR        -1.0000     NotChecked  -9.2037     1043.5148   ✗       
361   -17.027QLDPAAYLR         -1.0000     NotChecked  -9.2041     1028.5291   ✗       
362   -17.027QHLDPAAPLR        -1.0000     NotChecked  -9.2044     1099.5774   ✗       
363   -17.027QHLDPAAVPR        -1.0000     NotChecked  -9.2054     1085.5618   ✗       
364   -17.027ALDPAAVGR         -1.0000     NotChecked  -9.2082     851.4501    ✗       
365   -17.027ALDPAAVLR         -1.0000     NotChecked  -9.2088     907.5127    ✗       
366   -17.027YSLDPAAVLR        -1.0000     NotChecked  -9.2144     1086.5710   ✗       
367   -17.027EYLDPAAVLR        -1.0000     NotChecked  -9.2147     1128.5815   ✗       
368   LDPAAVLR                 -1.0000     NotChecked  -9.2178     853.5022    ✗       
369   -17.027QFSDPAAVGR        -1.0000     NotChecked  -9.2220     1029.4880   ✗       
370   -17.027QFSDPAAVLR        -1.0000     NotChecked  -9.2227     1085.5506   ✗       
371   -17.027QHSDPAAHLR        -1.0000     NotChecked  -9.2260     1113.5316   ✗       
372   +43.006QHSDPAAVLR        -1.0000     NotChecked  -9.2279     1135.5734   ✗       
373   +42.011HSDPAAVLR         -1.0000     NotChecked  -9.2309     1006.5196   ✗       
374   -17.027QPSDPAAVGR        -1.0000     NotChecked  -9.2322     979.4723    ✗       
375   -17.027QPSDPAAVLR        -1.0000     NotChecked  -9.2328     1035.5349   ✗       
376   -17.027SSDPAAVGR         -1.0000     NotChecked  -9.2345     841.3930    ✗       
377   -17.027SSDPAAVLR         -1.0000     NotChecked  -9.2351     897.4556    ✗       
378   -17.027QELDPAVLR         -1.0000     NotChecked  -9.2366     1022.5397   ✗       
379   -17.027YLDPAAVLR         -1.0000     NotChecked  -9.2368     999.5389    ✗       
380   -17.027LTDPAAVLR         -1.0000     NotChecked  -9.2403     937.5233    ✗       
381   -17.027QDSDPAAVGR        -1.0000     NotChecked  -9.2420     997.4465    ✗       
382   -17.027QDSDPAAVLR        -1.0000     NotChecked  -9.2426     1053.5091   ✗       
383   QHSDPAAVGR               -1.0000     NotChecked  -9.2441     1036.5050   ✗       
384   QHSDPAAVLR               -1.0000     NotChecked  -9.2448     1092.5676   ✗       
385   -17.027FLDPAAVGR         -1.0000     NotChecked  -9.2450     927.4814    ✗       
386   -17.027FLDPAAVLR         -1.0000     NotChecked  -9.2457     983.5440    ✗       
387   -17.027QHLTPAAVLR        -1.0000     NotChecked  -9.2488     1087.6138   ✗       
388   -17.027HLDPAAHLR         -1.0000     NotChecked  -9.2490     1011.5250   ✗       
389   +43.006HLDPAAVLR         -1.0000     NotChecked  -9.2509     1033.5669   ✗       
390   -17.027QHLDPAAYGR        -1.0000     NotChecked  -9.2535     1109.5254   ✗       
391   -17.027PLDPAAVGR         -1.0000     NotChecked  -9.2552     877.4658    ✗       
392   -17.027PLDPAAVLR         -1.0000     NotChecked  -9.2558     933.5284    ✗       
393   -17.027YSDPAAVGR         -1.0000     NotChecked  -9.2570     917.4243    ✗       
394   -17.027YSDPAAVLR         -1.0000     NotChecked  -9.2576     973.4869    ✗       
395   +42.011QLSDPAAVLR        -1.0000     NotChecked  -9.2627     1110.6033   ✗       
396   +42.011QHTDPAAVLR        -1.0000     NotChecked  -9.2640     1148.5938   ✗       
397   -17.027DLDPAAVGR         -1.0000     NotChecked  -9.2650     895.4399    ✗       
398   -17.027DLDPAAVLR         -1.0000     NotChecked  -9.2656     951.5025    ✗       
399   HLDPAAVGR                -1.0000     NotChecked  -9.2671     934.4985    ✗       
400   -17.027QSTDPAAVGR        -1.0000     NotChecked  -9.2676     983.4672    ✗       
401   HLDPAAVLR                -1.0000     NotChecked  -9.2678     990.5611    ✗       
402   -17.027QSTDPAAVLR        -1.0000     NotChecked  -9.2682     1039.5298   ✗       
403   -17.027QSGDPAAVLR        -1.0000     NotChecked  -9.2712     995.5036    ✗       
404   -17.027QHLDPAAALR        -1.0000     NotChecked  -9.2743     1073.5618   ✗       
405   -17.027QALDPAVLR         -1.0000     NotChecked  -9.2755     964.5342    ✗       
406   -17.027QELSPAAVGR        -1.0000     NotChecked  -9.2783     1009.5193   ✗       
407   -17.027QELSPAAVLR        -1.0000     NotChecked  -9.2790     1065.5819   ✗       
408   -17.027HSDPAAVLK         -1.0000     NotChecked  -9.2799     919.4763    ✗       
409   -17.027QSDWAAVLR         -1.0000     NotChecked  -9.2806     1027.5087   ✗       
410   -17.027QLLDPAAHLR        -1.0000     NotChecked  -9.2808     1115.6087   ✗       
411   +43.006QLLDPAAVLR        -1.0000     NotChecked  -9.2826     1137.6506   ✗       
412   +42.011LLDPAAVLR         -1.0000     NotChecked  -9.2857     1008.5968   ✗       
413   -17.027HLDPAAVLR         -1.0000     NotChecked  -9.2866     973.5345    ✗       
414   -17.027GHSDPAAVLR        -1.0000     NotChecked  -9.2882     1004.5039   ✗       
415   -17.027QYTDPAAVGR        -1.0000     NotChecked  -9.2900     1059.4985   ✗       
416   -17.027QYTDPAAVLR        -1.0000     NotChecked  -9.2906     1115.5611   ✗       
417   -17.027QYGDPAAVLR        -1.0000     NotChecked  -9.2937     1071.5349   ✗       
418   HQLDPAAVLR               -1.0000     NotChecked  -9.2958     1118.6196   ✗       
419   -17.027VDPAAVLR          -1.0000     NotChecked  -9.2963     822.4600    ✗       
420   QLLDPAAVGR               -1.0000     NotChecked  -9.2989     1038.5822   ✗       
421   QLLDPAAVLR               -1.0000     NotChecked  -9.2995     1094.6448   ✗       
422   -17.027QSSDPAVLR         -1.0000     NotChecked  -9.3018     954.4771    ✗       
423   -17.027LDWAAVLR          -1.0000     NotChecked  -9.3036     925.5022    ✗       
424   -17.027QSLDGAAVLR        -1.0000     NotChecked  -9.3084     1011.5349   ✗       
425   -17.027QLSDPAAVLK        -1.0000     NotChecked  -9.3117     1023.5601   ✗       
426   -17.027QFLDPAVLR         -1.0000     NotChecked  -9.3123     1040.5655   ✗       
427   +42.011QSLDPAAVGR        -1.0000     NotChecked  -9.3129     1054.5407   ✗       
428   -17.027QHTDPAAVLK        -1.0000     NotChecked  -9.3130     1061.5506   ✗       
429   +42.011QSLDPAAVLR        -1.0000     NotChecked  -9.3135     1110.6033   ✗       
430   -17.027LSSPAAVLR         -1.0000     NotChecked  -9.3163     895.5127    ✗       
431   -17.027HSEPAAVLR         -1.0000     NotChecked  -9.3166     961.4981    ✗       
432   -17.027QALSPAAVGR        -1.0000     NotChecked  -9.3172     951.5138    ✗       
433   -17.027HTSPAAVLR         -1.0000     NotChecked  -9.3176     933.5032    ✗       
434   -17.027QALSPAAVLR        -1.0000     NotChecked  -9.3179     1007.5764   ✗       
435   -17.027SHSDPAAVLR        -1.0000     NotChecked  -9.3212     1034.5145   ✗       
436   -17.027QSDPPAAVLR        -1.0000     NotChecked  -9.3216     1035.5349   ✗       
437   -17.027QPLDPAVLR         -1.0000     NotChecked  -9.3225     990.5498    ✗       
438   -17.027QYSDPAVLR         -1.0000     NotChecked  -9.3242     1030.5084   ✗       
439   -17.027SLDPAVLR          -1.0000     NotChecked  -9.3248     852.4705    ✗       
440   QLSPAAVLR                -1.0000     NotChecked  -9.3268     953.5658    ✗       
441   -17.027QHSDWAAVGR        -1.0000     NotChecked  -9.3299     1108.5050   ✗       
442   -17.027QYLDGAAVLR        -1.0000     NotChecked  -9.3309     1087.5662   ✗       
443   -17.027QDLDPAVLR         -1.0000     NotChecked  -9.3323     1008.5240   ✗       
444   -17.027QSLDEAAVLR        -1.0000     NotChecked  -9.3333     1083.5560   ✗       
445   QHLDPAVLR                -1.0000     NotChecked  -9.3344     1047.5825   ✗       
446   -17.027LLDPAAVLK         -1.0000     NotChecked  -9.3347     921.5535    ✗       
447   +42.011QYLDPAAVGR        -1.0000     NotChecked  -9.3354     1130.5720   ✗       
448   -17.027HLDPAAVGR         -1.0000     NotChecked  -9.3359     917.4719    ✗       
449   -17.027HLDPAAVLR         -1.0000     NotChecked  -9.3366     973.5345    ✗       
450   -17.027QSLPPAAVLR        -1.0000     NotChecked  -9.3398     1033.5920   ✗       
451   +42.011QHSSPAAVLR        -1.0000     NotChecked  -9.3400     1106.5833   ✗       
452   -17.027GLLDPAAVLR        -1.0000     NotChecked  -9.3429     1006.5811   ✗       
453   -17.027QSSSPAAVGR        -1.0000     NotChecked  -9.3435     941.4567    ✗       
454   -17.027QSSSPAAVLR        -1.0000     NotChecked  -9.3442     997.5193    ✗       
455   -17.027LDPPAAVLR         -1.0000     NotChecked  -9.3446     933.5284    ✗       
456   -17.027HVDPAAVGR         -1.0000     NotChecked  -9.3457     903.4563    ✗       
457   -17.027HVDPAAVLR         -1.0000     NotChecked  -9.3463     959.5189    ✗       
458   -17.027YLDPAVLR          -1.0000     NotChecked  -9.3472     928.5018    ✗       
459   -17.027QLSEPAAVLR        -1.0000     NotChecked  -9.3483     1065.5819   ✗       
460   -17.027Q+0.984SLDPAAVLR  -1.0000     NotChecked  -9.3485     1052.5502   ✗       
461   -17.027QLTSPAAVLR        -1.0000     NotChecked  -9.3494     1037.5869   ✗       
462   -17.027QHTEPAAVLR        -1.0000     NotChecked  -9.3496     1103.5723   ✗       
463   -17.027HLDWAAVGR         -1.0000     NotChecked  -9.3529     1006.4985   ✗       
464   +43.006-17.027QHLDPAAVLR -1.0000     NotChecked  -9.3533     1144.5989   ✗       
465   -17.027QFLSPAAVGR        -1.0000     NotChecked  -9.3541     1027.5451   ✗       
466   -17.027QFLSPAAVLR        -1.0000     NotChecked  -9.3547     1083.6077   ✗       
467   -17.027QHLSPAAHLR        -1.0000     NotChecked  -9.3580     1111.5887   ✗       
468   +42.011QHLDPAAVLK        -1.0000     NotChecked  -9.3583     1132.6241   ✗       
469   +43.006QHLSPAAVLR        -1.0000     NotChecked  -9.3599     1133.6305   ✗       
470   -17.027QSDDPAAVLR        -1.0000     NotChecked  -9.3609     1053.5091   ✗       
471   -17.027QSLDPAAVGK        -1.0000     NotChecked  -9.3619     967.4975    ✗       
472   -17.027QYLPPAAVLR        -1.0000     NotChecked  -9.3623     1109.6233   ✗       
473   -17.027QSLDPAAVLK        -1.0000     NotChecked  -9.3625     1023.5601   ✗       
474   +42.011HLSPAAVLR         -1.0000     NotChecked  -9.3630     1004.5767   ✗       
475   -17.027QPLSPAAVGR        -1.0000     NotChecked  -9.3642     977.5294    ✗       
476   -17.027QPLSPAAVLR        -1.0000     NotChecked  -9.3648     1033.5920   ✗       
477   -17.027QYSSPAAVGR        -1.0000     NotChecked  -9.3660     1017.4880   ✗       
478   -17.027SLSPAAVGR         -1.0000     NotChecked  -9.3665     839.4501    ✗       
479   -17.027QYSSPAAVLR        -1.0000     NotChecked  -9.3666     1073.5506   ✗       
480   -17.027SLSPAAVLR         -1.0000     NotChecked  -9.3672     895.5127    ✗       
481   -17.027QHSDPPAAVGR       -1.0000     NotChecked  -9.3710     1116.5312   ✗       
482   -17.027Q+0.984YLDPAAVLR  -1.0000     NotChecked  -9.3710     1128.5815   ✗       
483   -17.027LLEPAAVLR         -1.0000     NotChecked  -9.3713     963.5753    ✗       
484   -17.027QHSDPAAVLR        -1.0000     NotChecked  -9.3716     1075.5411   ✗       
485   -17.027QDLSPAAVGR        -1.0000     NotChecked  -9.3740     995.5036    ✗       
486   -17.027QDLSPAAVLR        -1.0000     NotChecked  -9.3747     1051.5662   ✗       
487   -17.027SLLDPAAVLR        -1.0000     NotChecked  -9.3759     1036.5917   ✗       
488   QHLSPAAVGR               -1.0000     NotChecked  -9.3762     1034.5621   ✗       
489   QHLSPAAVLR               -1.0000     NotChecked  -9.3768     1090.6247   ✗       
490   -17.027QLVDPAAVGR        -1.0000     NotChecked  -9.3774     1007.5400   ✗       
491   -17.027QLVDPAAVLR        -1.0000     NotChecked  -9.3781     1063.6026   ✗       
492   -17.027QYDDPAAVLR        -1.0000     NotChecked  -9.3833     1129.5404   ✗       
493   -17.027QYLDPAAVGK        -1.0000     NotChecked  -9.3844     1043.5288   ✗       
494   -17.027QLLDWAAVGR        -1.0000     NotChecked  -9.3847     1110.5822   ✗       
495   -17.027QYLDPAAVLK        -1.0000     NotChecked  -9.3850     1099.5914   ✗       
496   -17.027QHSSPAAVLK        -1.0000     NotChecked  -9.3890     1019.5400   ✗       
497   -17.027YLSPAAVGR         -1.0000     NotChecked  -9.3890     915.4814    ✗       
498   -17.027YLSPAAVLR         -1.0000     NotChecked  -9.3896     971.5440    ✗       
499   -17.027HLDPPAAVGR        -1.0000     NotChecked  -9.3940     1014.5247   ✗       
500   -17.027HLDPAAVLR         -1.0000     NotChecked  -9.3946     973.5345    ✗       
501   +42.011QLLSPAAVLR        -1.0000     NotChecked  -9.3947     1108.6604   ✗       
502   -17.027QSLEPAAVGR        -1.0000     NotChecked  -9.3985     1009.5193   ✗       
503   -17.027QSLEPAAVLR        -1.0000     NotChecked  -9.3992     1065.5819   ✗       
504   -17.027QALDYAAVLR        -1.0000     NotChecked  -9.4036     1101.5819   ✗       
505   -17.027QVSPAAVLR         -1.0000     NotChecked  -9.4054     922.5236    ✗       
506   -17.027HLSPAAVLK         -1.0000     NotChecked  -9.4119     917.5335    ✗       
507   -17.027QLSWAAVLR         -1.0000     NotChecked  -9.4126     1025.5658   ✗       
508   -17.027QHVDPAVLR         -1.0000     NotChecked  -9.4130     1016.5403   ✗       
509   QSVDPAAVLR               -1.0000     NotChecked  -9.4197     1054.5771   ✗       
510   -17.027GHLSPAAVLR        -1.0000     NotChecked  -9.4202     1002.5611   ✗       
511   -17.027QHLDWAVLR         -1.0000     NotChecked  -9.4202     1119.5825   ✗       
512   -17.027QYLEPAAVGR        -1.0000     NotChecked  -9.4210     1085.5506   ✗       
513   -17.027PSLDPAAVLR        -1.0000     NotChecked  -9.4238     1020.5604   ✗       
514   -17.027QLLDPPAAVGR       -1.0000     NotChecked  -9.4257     1118.6084   ✗       
515   -17.027QLLDPAAVLR        -1.0000     NotChecked  -9.4263     1077.6182   ✗       
516   -17.027QSLDFAAVLR        -1.0000     NotChecked  -9.4297     1101.5819   ✗       
517   -17.027QSSDYAAVLR        -1.0000     NotChecked  -9.4299     1091.5247   ✗       
518   -17.027QSLSPAVLR         -1.0000     NotChecked  -9.4338     952.5342    ✗       
519   QYVDPAAVLR               -1.0000     NotChecked  -9.4421     1130.6084   ✗       
520   -17.027QLLSPAAVLK        -1.0000     NotChecked  -9.4437     1021.6172   ✗       
521   -17.027QHLEPAAVLK        -1.0000     NotChecked  -9.4440     1087.6026   ✗       
522   -17.027PYLDPAAVLR        -1.0000     NotChecked  -9.4463     1096.5917   ✗       
523   -17.027QPLDYAAVLR        -1.0000     NotChecked  -9.4506     1127.5975   ✗       
524   -17.027SLDYAAVLR         -1.0000     NotChecked  -9.4529     989.5182    ✗       
525   -17.027SHLSPAAVLR        -1.0000     NotChecked  -9.4532     1032.5716   ✗       
526   -17.027QLSPPAAVLR        -1.0000     NotChecked  -9.4536     1033.5920   ✗       
527   -17.027QHVSPAAVGR        -1.0000     NotChecked  -9.4547     1003.5199   ✗       
528   -17.027QHVSPAAVLR        -1.0000     NotChecked  -9.4554     1059.5825   ✗       
529   -17.027QYLSPAVLR         -1.0000     NotChecked  -9.4563     1028.5655   ✗       
530   -17.027QHLDPPAVLR        -1.0000     NotChecked  -9.4612     1127.6087   ✗       
531   -17.027QHEDPAAVLR        -1.0000     NotChecked  -9.4617     1117.5516   ✗       
532   -17.027QHLSWAAVGR        -1.0000     NotChecked  -9.4620     1106.5621   ✗       
533   -17.027EHSDPAAVLR        -1.0000     NotChecked  -9.4643     1076.5251   ✗       
534   -17.027QELDPAAPLR        -1.0000     NotChecked  -9.4750     1091.5611   ✗       
535   -17.027YLDYAAVLR         -1.0000     NotChecked  -9.4754     1065.5495   ✗       
536   -17.027YHSDPAAVLR        -1.0000     NotChecked  -9.4864     1110.5458   ✗       
537   -17.027QHLDPAALLR        -1.0000     NotChecked  -9.4936     1115.6087   ✗       
538   -17.027QHNDPAAVLR        -1.0000     NotChecked  -9.4940     1102.5520   ✗       
539   -17.027QSLDLAAVLR        -1.0000     NotChecked  -9.4960     1067.5975   ✗       
540   -17.027QHLDPAAVLR        -1.0000     NotChecked  -9.5008     1101.5931   ✗       
541   -17.027QSLDPAAVLQ        -1.0000     NotChecked  -9.5011     1023.5237   ✗       
542   -17.027QHLSPPAAVGR       -1.0000     NotChecked  -9.5030     1114.5883   ✗       
543   -17.027QHLSPAAVLR        -1.0000     NotChecked  -9.5036     1073.5982   ✗       
544   -17.027QSVDWAAVLR        -1.0000     NotChecked  -9.5055     1126.5771   ✗       
545   -17.027TDPAAVLR          -1.0000     NotChecked  -9.5133     824.4392    ✗       
546   -17.027QALDPAAPLR        -1.0000     NotChecked  -9.5139     1033.5556   ✗       
547   -17.027QSLDMAAVLR        -1.0000     NotChecked  -9.5152     1085.5539   ✗       
548   QESDPAAVLR               -1.0000     NotChecked  -9.5154     1084.5513   ✗       
549   -17.027ELLDPAAVLR        -1.0000     NotChecked  -9.5190     1078.6023   ✗       
550   -17.027QYLDPAAVLQ        -1.0000     NotChecked  -9.5236     1099.5550   ✗       
551   -17.027QELDPAAVGR        -1.0000     NotChecked  -9.5240     1037.5142   ✗       
552   +42.011QSDPAAVLR         -1.0000     NotChecked  -9.5356     997.5193    ✗       
553   ELDPAAVLR                -1.0000     NotChecked  -9.5383     982.5447    ✗       
554   -17.027QSSDPAAPLR        -1.0000     NotChecked  -9.5402     1023.4985   ✗       
555   -17.027YLLDPAAVLR        -1.0000     NotChecked  -9.5412     1112.6230   ✗       
556   -17.027QSVDPPAAVLR       -1.0000     NotChecked  -9.5465     1134.6033   ✗       
557   -17.027QFLDPAAPLR        -1.0000     NotChecked  -9.5507     1109.5869   ✗       
558   -17.027QLDPAAHLR         -1.0000     NotChecked  -9.5537     1002.5247   ✗       
559   QASDPAAVLR               -1.0000     NotChecked  -9.5543     1026.5458   ✗       
560   +43.006QLDPAAVLR         -1.0000     NotChecked  -9.5555     1024.5665   ✗       
561   +42.011LDPAAVLR          -1.0000     NotChecked  -9.5586     895.5127    ✗       
562   -17.027QPLDPAAPLR        -1.0000     NotChecked  -9.5608     1059.5713   ✗       
563   -17.027LSDPAAVGR         -1.0000     NotChecked  -9.5613     867.4450    ✗       
564   -17.027LSDPAAVLR         -1.0000     NotChecked  -9.5619     923.5076    ✗       
565   -17.027QSLSYAAVLR        -1.0000     NotChecked  -9.5620     1089.5819   ✗       
566   -17.027HTDPAAVGR         -1.0000     NotChecked  -9.5626     905.4355    ✗       
567   -17.027QYSDPAAPLR        -1.0000     NotChecked  -9.5626     1099.5298   ✗       
568   -17.027QALDPAAVGR        -1.0000     NotChecked  -9.5629     979.5087    ✗       
569   -17.027SLDPAAPLR         -1.0000     NotChecked  -9.5632     921.4920    ✗       
570   -17.027HTDPAAVLR         -1.0000     NotChecked  -9.5632     961.4981    ✗       
571   -17.027QALDPAAYLR        -1.0000     NotChecked  -9.5636     1099.5662   ✗       
572   -17.027HGDPAAVLR         -1.0000     NotChecked  -9.5663     917.4719    ✗       
573   -17.027QDLDPAAPLR        -1.0000     NotChecked  -9.5707     1077.5455   ✗       
574   QLDPAAVGR                -1.0000     NotChecked  -9.5718     925.4981    ✗       
575   QLDPAAVLR                -1.0000     NotChecked  -9.5724     981.5607    ✗       
576   QHLDPAAPLR               -1.0000     NotChecked  -9.5728     1116.6040   ✗       
577   ALDPAAVLR                -1.0000     NotChecked  -9.5773     924.5393    ✗       
578   -17.027QHSDGAAVLR        -1.0000     NotChecked  -9.5805     1035.5098   ✗       
579   -17.027QHFDPAAVLR        -1.0000     NotChecked  -9.5843     1135.5774   ✗       
580   -17.027QSDPAAVLK         -1.0000     NotChecked  -9.5846     910.4760    ✗       
581   +42.011QHSDPAAVGR        -1.0000     NotChecked  -9.5850     1078.5156   ✗       
582   +42.011QHSDPAAVLR        -1.0000     NotChecked  -9.5856     1134.5782   ✗       
583   -17.027YLDPAAPLR         -1.0000     NotChecked  -9.5856     997.5233    ✗       
584   -17.027QSSDPAAVGR        -1.0000     NotChecked  -9.5892     969.4516    ✗       
585   -17.027SSPAAVLR          -1.0000     NotChecked  -9.5892     782.4287    ✗       
586   -17.027QSSDPAAYLR        -1.0000     NotChecked  -9.5899     1089.5091   ✗       
587   QFSDPAAVLR               -1.0000     NotChecked  -9.5911     1102.5771   ✗       
588   -17.027QLTDPAAVGR        -1.0000     NotChecked  -9.5944     1009.5193   ✗       
589   -17.027QLTDPAAVLR        -1.0000     NotChecked  -9.5950     1065.5819   ✗       
590   -17.027EHLSPAAVLR        -1.0000     NotChecked  -9.5963     1074.5822   ✗       
591   -17.027HSDPAVLR          -1.0000     NotChecked  -9.5968     876.4454    ✗       
592   -17.027QLGDPAAVLR        -1.0000     NotChecked  -9.5980     1021.5556   ✗       
593   -17.027QFLDPAAVGR        -1.0000     NotChecked  -9.5997     1055.5400   ✗       
594   QPSDPAAVLR               -1.0000     NotChecked  -9.6012     1052.5615   ✗       
